LON,LAT,NUMBER,STREET,STR_NAME,STR_TYPE,STR_DIR,address,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-115.7948854,49.5059207,600,FINK Street W,FINK,Street,W,600 FINK Street W,,CRANBROOK,,,,,bdf1e86eb8ecbe73
-115.7931198,49.512507,900,LAURIER Street W,LAURIER,Street,W,900 LAURIER Street W,,CRANBROOK,,,,,c3183c9332b10ad9
-115.769894,49.5181229,304,BLAIR Ave NW,BLAIR,Ave,NW,304 BLAIR Ave NW,,CRANBROOK,,,,,cac4c4d75df1483a
-115.7790334,49.5693698,6020,PARNABY Road,PARNABY,Road, ,6020 PARNABY Road  ,,CRANBROOK,,,,,fc345901288250db
-115.7599137,49.5386348,180,THE WHINS,THE WHINS, , ,180 THE WHINS  ,,CRANBROOK,,,,,55a4d696aa65899c
-115.7531471,49.5349692,2099,THEATRE Road,THEATRE,Road, ,2099 THEATRE Road  ,,CRANBROOK,,,,,4d68a9b3454055d7
-115.7653431,49.5316257,1525,INDUSTRIAL ROAD  2,INDUSTRIAL ROAD  2, , ,1525 INDUSTRIAL ROAD 2  ,,CRANBROOK,,,,,a674b671ec54e2e9
-115.7681871,49.5348592,140,GRANDVIEW Place,GRANDVIEW,Place, ,140 GRANDVIEW Place  ,,CRANBROOK,,,,,10b791d58056f0ef
-115.7647337,49.5360689,328,MISSION Place,MISSION,Place, ,328 MISSION Place  ,,CRANBROOK,,,,,3cf0d8efd832b8ca
-115.7598539,49.5382329,181,THE WHINS,THE WHINS, , ,181 THE WHINS  ,,CRANBROOK,,,,,c4d5a793f7069ba9
-115.8051341,49.5770663,104,PLATEAU PLACE,PLATEAU PLACE, , ,104 PLATEAU PLACE  ,,CRANBROOK,,,,,ca76d616f5b1d1d1
-115.7422872,49.5331252,2280,CRANBROOK Street N,CRANBROOK,Street,N,2280 CRANBROOK Street N,,CRANBROOK,,,,,d68440c08538a6d8
-115.7420996,49.5318884,2128,KOKANEE Court N,KOKANEE,Court,N,2128 KOKANEE Court N,,CRANBROOK,,,,,371116141adf70df
-115.7310596,49.5246068,1510,MT ROYAL RIDGE,MT ROYAL RIDGE, , ,1510 MT ROYAL RIDGE  ,,CRANBROOK,,,,,a8d436ad34f7d634
-115.74345,49.5320339,2124,CRANBROOK Street N,CRANBROOK,Street,N,2124 CRANBROOK Street N,,CRANBROOK,,,,,bd38c811b7788dc6
-115.7325247,49.5253159,1520,ABEL Ave,ABEL,Ave, ,1520 ABEL Ave  ,,CRANBROOK,,,,,6cc5228877da2a19
-115.7462294,49.5233737,1200,KOKANEE Drive N,KOKANEE,Drive,N,1200 KOKANEE Drive N,,CRANBROOK,,,,,37b5f71f8e0a14f7
-115.7471914,49.5239263,1401,WILLOWBROOK Drive N,WILLOWBROOK,Drive,N,1401 WILLOWBROOK Drive N,9,CRANBROOK,,,,,88933053e5bfddc8
-115.7346422,49.5271265,3341,MT FISHER Drive,MT FISHER,Drive, ,3341 MT FISHER Drive  ,,CRANBROOK,,,,,b0345a5c703124c1
-115.7341076,49.5265154,3334,MT FISHER Drive,MT FISHER,Drive, ,3334 MT FISHER Drive  ,,CRANBROOK,,,,,464a8975177a3ece
-115.7387819,49.5261021,1601,MT PROCTOR Place N,MT PROCTOR,Place,N,1601 MT PROCTOR Place N,,CRANBROOK,,,,,edc1d4d5d39420bb
-115.7348841,49.5275745,3308,MT ROYAL Drive N,MT ROYAL,Drive,N,3308 MT ROYAL Drive N,,CRANBROOK,,,,,5d86ababef311141
-115.7503835,49.5264369,1532,CRANBROOK Street N,CRANBROOK,Street,N,1532 CRANBROOK Street N,,CRANBROOK,,,,,fa2a569116d89c74
-115.73724,49.5256808,3029,MT FISHER Drive,MT FISHER,Drive, ,3029 MT FISHER Drive  ,,CRANBROOK,,,,,b87d300fee1cf806
-115.7341644,49.5302285,1844,MT CONNELL Cres N,MT CONNELL,Cres,N,1844 MT CONNELL Cres N,,CRANBROOK,,,,,8aeaedbb842d5ede
-115.7426429,49.5291254,1813,KOKANEE Cres N,KOKANEE,Cres,N,1813 KOKANEE Cres N,,CRANBROOK,,,,,d981e93877fd8c86
-115.7437272,49.5299393,2025,KOKANEE Drive N,KOKANEE,Drive,N,2025 KOKANEE Drive N,38,CRANBROOK,,,,,2e463aa3f9117638
-115.7893803,49.503645,1412,COBHAM Ave W,COBHAM,Ave,W,1412 COBHAM Ave W,,CRANBROOK,,,,,812a5a888adbee52
-115.7689621,49.5168117,221,CRESTBROOK Ave NW,CRESTBROOK,Ave,NW,221 CRESTBROOK Ave NW,,CRANBROOK,,,,,baaf185faeb344bb
-115.7739334,49.5145857,32,PINEWOOD Ave,PINEWOOD,Ave, ,32 PINEWOOD Ave  ,,CRANBROOK,,,,,1fc3f4034cb398a8
-115.7506415,49.5432451,3034,THEATRE Road,THEATRE,Road, ,3034 THEATRE Road  ,,CRANBROOK,,,,,8ed76a79f0562678
-115.7676632,49.5184208,412,BRIAR Ave NW,BRIAR,Ave,NW,412 BRIAR Ave NW,,CRANBROOK,,,,,f88f96dbd6710606
-115.7692228,49.5205191,509,HURRY Ave NW,HURRY,Ave,NW,509 HURRY Ave NW,,CRANBROOK,,,,,52a07f26caaefa2f
-115.7787751,49.5739838,121,CORRAL BOULEVARD,CORRAL BOULEVARD, , ,121 CORRAL BOULEVARD  ,,CRANBROOK,,,,,4c41a58975af4c87
-115.7668541,49.5280788,553,INDUSTRIAL ROAD D,INDUSTRIAL ROAD D, , ,553 INDUSTRIAL ROAD D  ,,CRANBROOK,,,,,e4e10180b493f43c
-115.7863672,49.575899,333,CORRAL CLOSE,CORRAL CLOSE, , ,333 CORRAL CLOSE  ,,CRANBROOK,,,,,9539b12cbbbdc2a8
-115.7654797,49.5360427,344,MISSION Place,MISSION,Place, ,344 MISSION Place  ,,CRANBROOK,,,,,f9d4eb3aa3b4a7b8
